"id","product_id","colour","style_name"
1,1,Black/Black/Multi-Colour,DD7099-001
2,1,Fossil Stone/Fossil Stone/Multi-Colour,DD7099-200
3,1,White/White/Multi-Colour,DD7099-100
4,2,Cargo Khaki/Black/White/Cargo Khaki,DQ5570-300
5,2,Hemp/Hemp/White/Hemp,DQ5570-200
6,3,White/Summit White/Gum Light Brown/Black,DA2045-100
7,3,Medium Olive/White/White/Sail,DA2045-201
8,4,Cargo Khaki/Sequoia/Summit White/Volt,DC1456-300
9,4,Black/White,DC1456-001
10,5,White/University Red,AR8836-177
11,5,White/White/Black,AR8836-100
12,5,Black/White,AR8836-005
13,7,Black/University Red/White/Anthracite,BQ3204-003
14,7,Black/Anthracite/White,BQ3204-002
15,11,Pure Platinum/Lilac/Ghost/Atomic Orange,DA1349-001
16,11,Black/White,DA1349-004
17,12,Court Blue/Imperial Blue/Black,AO3621-408
18,12,White/Black/White,AO3621-100
19,12,Midnight Navy/Wolf Grey/White/Midnight Navy,AO3621-407
20,12,Black/White,AO3621-001
21,14,Black/Anthracite/Black/Metallic Pewter,DH0558-001
22,14,Plum Fog/Summit White/Black/Metallic Silver,DH0558-500
23,14,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,DJ3180-991
24,15,Black/Pure Platinum/Wolf Grey/White,CI9923-008
25,15,Barely Volt/Volt/Hyper Orange/Black,CI9923-700
26,15,Black/Anthracite/Pure Platinum/White,CI9923-005
27,15,White/Pure Platinum/Black/Photo Blue,CI9923-104
28,15,Black/Volt/White,CI9923-001
29,15,Dark Smoke Grey/Pure Platinum/Iron Grey/Lime Glow,CI9923-007
30,16,Hemp/Light Soft Pink/White/Metallic Rose Gold,DD1523-200
31,16,White/Black/Metallic Silver,DD1523-100
32,16,Black/White/Metallic Gold,DD1523-001
33,17,Black/Black/Black,CN9146-001
34,17,White/White/White,CN9146-101
35,19,Anthracite/Gym Red/Metallic Dark Grey/Black,CW3406-002
36,19,Black/White/Total Orange/Light Photo Blue,CW3406-003
37,19,Cool Grey/Metallic Silver/Wolf Grey/Black,CW3406-005
38,22,Cream II/Saturn Gold/White/Cream II,CW6536-200
39,22,Black/White,CW6536-001
40,24,White/Football Grey/Pink Blast/Black,DJ5408-100
41,24,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,DJ0964-991
42,25,Black/Dark Smoke Grey/White,DC6916-003
43,25,Grey Fog/Chambray Blue/Light Bone/Black,DC6916-001
44,26,Deep Royal Blue/Orange/University Gold/White,DC3433-400
45,26,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,DJ4856-991
